2018-02-01 09:03:57 startup archives unpack
2018-02-01 09:03:58 upgrade chromium-codecs-ffmpeg-extra:amd64 63.0.3239.132-0ubuntu0.16.04.1 64.0.3282.119-0ubuntu0.16.04.1
2018-02-01 09:03:58 status half-configured chromium-codecs-ffmpeg-extra:amd64 63.0.3239.132-0ubuntu0.16.04.1
2018-02-01 09:03:58 status unpacked chromium-codecs-ffmpeg-extra:amd64 63.0.3239.132-0ubuntu0.16.04.1
2018-02-01 09:03:58 status half-installed chromium-codecs-ffmpeg-extra:amd64 63.0.3239.132-0ubuntu0.16.04.1
2018-02-01 09:03:58 status half-installed chromium-codecs-ffmpeg-extra:amd64 63.0.3239.132-0ubuntu0.16.04.1
2018-02-01 09:03:58 status unpacked chromium-codecs-ffmpeg-extra:amd64 64.0.3282.119-0ubuntu0.16.04.1
2018-02-01 09:03:58 status unpacked chromium-codecs-ffmpeg-extra:amd64 64.0.3282.119-0ubuntu0.16.04.1
2018-02-01 09:03:58 upgrade curl:amd64 7.47.0-1ubuntu2.5 7.47.0-1ubuntu2.6
2018-02-01 09:03:58 status half-configured curl:amd64 7.47.0-1ubuntu2.5
2018-02-01 09:03:58 status unpacked curl:amd64 7.47.0-1ubuntu2.5
2018-02-01 09:03:58 status half-installed curl:amd64 7.47.0-1ubuntu2.5
2018-02-01 09:03:58 status triggers-pending man-db:amd64 2.7.5-1
2018-02-01 09:03:58 status half-installed curl:amd64 7.47.0-1ubuntu2.5
2018-02-01 09:03:58 status unpacked curl:amd64 7.47.0-1ubuntu2.6
2018-02-01 09:03:58 status unpacked curl:amd64 7.47.0-1ubuntu2.6
2018-02-01 09:03:58 upgrade libcurl3-gnutls:amd64 7.47.0-1ubuntu2.5 7.47.0-1ubuntu2.6
2018-02-01 09:03:58 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-02-01 09:03:58 status half-configured libcurl3-gnutls:amd64 7.47.0-1ubuntu2.5
2018-02-01 09:03:58 status unpacked libcurl3-gnutls:amd64 7.47.0-1ubuntu2.5
2018-02-01 09:03:58 status half-installed libcurl3-gnutls:amd64 7.47.0-1ubuntu2.5
2018-02-01 09:03:58 status half-installed libcurl3-gnutls:amd64 7.47.0-1ubuntu2.5
2018-02-01 09:03:58 status unpacked libcurl3-gnutls:amd64 7.47.0-1ubuntu2.6
2018-02-01 09:03:58 status unpacked libcurl3-gnutls:amd64 7.47.0-1ubuntu2.6
2018-02-01 09:03:58 trigproc man-db:amd64 2.7.5-1 <none>
2018-02-01 09:03:58 status half-configured man-db:amd64 2.7.5-1
2018-02-01 09:03:59 status installed man-db:amd64 2.7.5-1
2018-02-01 09:03:59 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-02-01 09:03:59 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-02-01 09:03:59 status installed libc-bin:amd64 2.23-0ubuntu10
2018-02-01 09:03:59 startup packages configure
2018-02-01 09:03:59 configure libcurl3-gnutls:amd64 7.47.0-1ubuntu2.6 <none>
2018-02-01 09:03:59 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-02-01 09:03:59 status unpacked libcurl3-gnutls:amd64 7.47.0-1ubuntu2.6
2018-02-01 09:03:59 status half-configured libcurl3-gnutls:amd64 7.47.0-1ubuntu2.6
2018-02-01 09:03:59 status installed libcurl3-gnutls:amd64 7.47.0-1ubuntu2.6
2018-02-01 09:03:59 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-02-01 09:03:59 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-02-01 09:03:59 status installed libc-bin:amd64 2.23-0ubuntu10
2018-02-01 09:03:59 startup archives unpack
2018-02-01 09:03:59 upgrade libcurl3:amd64 7.47.0-1ubuntu2.5 7.47.0-1ubuntu2.6
2018-02-01 09:03:59 status triggers-pending libc-bin:amd64 2.23-0ubuntu10
2018-02-01 09:03:59 status half-configured libcurl3:amd64 7.47.0-1ubuntu2.5
2018-02-01 09:03:59 status unpacked libcurl3:amd64 7.47.0-1ubuntu2.5
2018-02-01 09:03:59 status half-installed libcurl3:amd64 7.47.0-1ubuntu2.5
2018-02-01 09:03:59 status half-installed libcurl3:amd64 7.47.0-1ubuntu2.5
2018-02-01 09:03:59 status unpacked libcurl3:amd64 7.47.0-1ubuntu2.6
2018-02-01 09:03:59 status unpacked libcurl3:amd64 7.47.0-1ubuntu2.6
2018-02-01 09:03:59 upgrade libruby2.3:amd64 2.3.1-2~16.04.5 2.3.1-2~16.04.6
2018-02-01 09:03:59 status half-configured libruby2.3:amd64 2.3.1-2~16.04.5
2018-02-01 09:03:59 status unpacked libruby2.3:amd64 2.3.1-2~16.04.5
2018-02-01 09:03:59 status half-installed libruby2.3:amd64 2.3.1-2~16.04.5
2018-02-01 09:04:00 status half-installed libruby2.3:amd64 2.3.1-2~16.04.5
2018-02-01 09:04:00 status unpacked libruby2.3:amd64 2.3.1-2~16.04.6
2018-02-01 09:04:00 status unpacked libruby2.3:amd64 2.3.1-2~16.04.6
2018-02-01 09:04:00 upgrade ruby2.3:amd64 2.3.1-2~16.04.5 2.3.1-2~16.04.6
2018-02-01 09:04:00 status half-configured ruby2.3:amd64 2.3.1-2~16.04.5
2018-02-01 09:04:00 status unpacked ruby2.3:amd64 2.3.1-2~16.04.5
2018-02-01 09:04:00 status half-installed ruby2.3:amd64 2.3.1-2~16.04.5
2018-02-01 09:04:00 status triggers-pending man-db:amd64 2.7.5-1
2018-02-01 09:04:00 status half-installed ruby2.3:amd64 2.3.1-2~16.04.5
2018-02-01 09:04:00 status unpacked ruby2.3:amd64 2.3.1-2~16.04.6
2018-02-01 09:04:00 status unpacked ruby2.3:amd64 2.3.1-2~16.04.6
2018-02-01 09:04:00 trigproc libc-bin:amd64 2.23-0ubuntu10 <none>
2018-02-01 09:04:00 status half-configured libc-bin:amd64 2.23-0ubuntu10
2018-02-01 09:04:00 status installed libc-bin:amd64 2.23-0ubuntu10
2018-02-01 09:04:00 trigproc man-db:amd64 2.7.5-1 <none>
2018-02-01 09:04:00 status half-configured man-db:amd64 2.7.5-1
2018-02-01 09:04:00 status installed man-db:amd64 2.7.5-1
2018-02-01 09:04:00 startup packages configure
2018-02-01 09:04:00 configure chromium-codecs-ffmpeg-extra:amd64 64.0.3282.119-0ubuntu0.16.04.1 <none>
